#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
190,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Afzal Ansari,Samajwadi Party,2074883,1153094,55.6 %,124861.0,10.8%
191,Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Rajeev Rai,Samajwadi Party,2083928,1150590,55.2 %,162943.0,14.2%
192,Giridih,6,GEN,Jharkhand,Chandra Prakash Choudhary,Ajsu Party,1864660,1264833,67.8 %,80880.0,6.4%
193,Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,2028154,1398204,68.9 %,101813.0,7.3%
194,Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirtivardhan Singh,Bharatiya Janta Party,1843121,952884,51.7 %,46224.0,4.9%
195,Gopalganj,17,SC,Bihar [2000 Onwards],Dr. Alok Kumar Suman,Janata Dal (United),2024673,1063027,52.5 %,127180.0,12.0%
196,Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Ravindra Shukla Alias Ravi Kishan,Bharatiya Janta Party,2097202,1154413,55.1 %,103526.0,9.0%
197,Gulbarga,5,SC,Karnataka,Radhakrishna,Indian National Congress,2098202,1310477,62.5 %,27205.0,2.1%
198,Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M. Scindia,Bharatiya Janta Party,1889551,1373766,72.7 %,540929.0,39.4%
199,Guntur,13,,Andhra Pradesh [2014 Onwards],Dr Chandra Sekhar Pemmasani,Telugu Desam,1791543,1425371,79.6 %,344695.0,24.2%
200,Gurdaspur,1,GEN,Punjab,Sukhjinder Singh Randhawa,Indian National Congress,1605204,1077826,67.2 %,82861.0,7.7%
201,Gurgaon,9,GEN,Haryana,Rao Inderjit Singh,Bharatiya Janta Party,2573411,1601232,62.2 %,75079.0,4.7%
202,Guwahati,5,GEN,Assam,Bijuli Kalita Medhi,Bharatiya Janta Party,2036846,1599389,78.5 %,251090.0,15.7%
203,Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Bharat Singh Kushwah,Bharatiya Janta Party,2154601,1343229,62.3 %,70210.0,5.2%
204,Hajipur,21,SC,Bihar [2000 Onwards],Chirag Paswan,Lok Janshakti Party(Ram Vilas),1967094,1155324,58.7 %,170105.0,14.7%
205,Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Ajendra Singh Lodhi,Samajwadi Party,1839761,1115299,60.6 %,2629.0,0.2%
206,Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,1432636,1047263,73.1 %,182357.0,17.4%
207,Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Jai Prakash,Bharatiya Janta Party,1910485,1100116,57.6 %,27856.0,2.5%
208,Hardwar,5,GEN,Uttarakhand,Trivendra Singh Rawat,Bharatiya Janta Party,2035726,1302623,64.0 %,164056.0,12.6%
209,Hassan,16,GEN,Karnataka,Shreyas. M. Patel,Indian National Congress,1736610,1355007,78.0 %,42649.0,3.1%
210,Hathras,16,SC,Uttar Pradesh [2000 Onwards],Anoop Pradhan Balmiki,Bharatiya Janta Party,1938080,1082720,55.9 %,247318.0,22.8%
211,Hatkanangle,48,GEN,Maharashtra,Dhairyasheel Sambhajirao Mane,Shiv Sena,1814277,1296024,71.4 %,13426.0,1.0%
212,Haveri,10,GEN,Karnataka,Basavaraj Bommai,Bharatiya Janta Party,1792774,1395812,77.9 %,43513.0,3.1%
213,Hazaribagh,14,GEN,Jharkhand,Manish Jaiswal,Bharatiya Janta Party,1939374,1264667,65.2 %,276686.0,21.9%
214,Hindupur,20,,Andhra Pradesh [2014 Onwards],B K Parthasarathi,Telugu Desam,1656775,1416339,85.5 %,132427.0,9.3%
215,Hingoli,15,GEN,Maharashtra,Aashtikar Patil Nagesh Bapurao,Shiv Sena (Uddhav Balasaheb Thackrey),1817734,1159300,63.8 %,108602.0,9.4%
216,Hisar,4,GEN,Haryana,Jai Parkash (J P) S/O HARIKESH,Indian National Congress,1790722,1174115,65.6 %,63381.0,5.4%
217,Hooghly,28,GEN,West Bengal,Rachna Banerjee,All India Trinamool Congress,1858067,1517511,81.7 %,76853.0,5.1%
218,Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Darshan Singh Choudhary,Bharatiya Janta Party,1855692,1249692,67.3 %,431696.0,34.5%
219,Hoshiarpur,5,SC,Punjab,Dr. Raj Kumar Chabbewal,Aam Aadmi Party,1601826,948485,59.2 %,44111.0,4.7%
220,Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,1769184,1271796,71.9 %,169442.0,13.3%
221,Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,2217094,1080324,48.7 %,338087.0,31.3%
222,Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1250157,840657,67.2 %,133727.0,15.9%
223,Indore,26,GEN,Madhya Pradesh [2000 Onwards],Shankar Lalwani,Bharatiya Janta Party,2526803,1561968,61.8 %,1175092.0,75.2%
224,Inner Manipur,1,GEN,Manipur,Angomcha Bimol Akoijam,Indian National Congress,991574,796897,80.4 %,109801.0,13.8%
225,Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Ashish Dubey,Bharatiya Janta Party,1896346,1158545,61.0 %,486674.0,42.0%
226,Jadavpur,22,GEN,West Bengal,Sayani Ghosh,All India Trinamool Congress,2033525,1566509,77.0 %,258201.0,16.5%
227,Jagatsinghpur,16,SC,Orissa,Bibhu Prasad Tarai,Bharatiya Janta Party,1700814,1286287,75.6 %,40696.0,3.2%
228,Jahanabad,36,GEN,Bihar [2000 Onwards],Surendra Prasad Yadav,Rashtriya Janata Dal,1670327,925370,55.1 %,142591.0,15.4%
229,Jaipur,7,GEN,Rajasthan,Manju Sharma,Bharatiya Janta Party,2287350,1463258,64.0 %,331767.0,22.7%
230,Jaipur Rural,6,GEN,Rajasthan,Rao Rajendra Singh,Bharatiya Janta Party,2184978,1262054,57.8 %,1615.0,0.1%
231,Jajpur,8,SC,Orissa,Rabindra Narayan Behera,Bharatiya Janta Party,1545664,1161208,75.1 %,1587.0,0.1%
232,Jalandhar,4,SC,Punjab,Charanjit Singh Channi,Indian National Congress,1654005,989107,59.8 %,175993.0,17.8%
233,Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Narayan Das Ahirwar,Samajwadi Party,2006161,1128949,56.3 %,53898.0,4.8%
234,Jalgaon,3,GEN,Maharashtra,Smita Uday Wagh,Bharatiya Janta Party,1994046,1169553,58.7 %,251594.0,21.5%
235,Jalna,18,GEN,Maharashtra,Kalyan Vaijinathrao Kale,Indian National Congress,1967574,1363409,69.3 %,109958.0,8.1%
236,Jalore,18,GEN,Rajasthan,Lumbaram,Bharatiya Janta Party,2297328,1451126,63.2 %,201543.0,13.9%
237,Jalpaiguri,3,SC,West Bengal,Dr Jayanta Kumar Roy,Bharatiya Janta Party,1885963,1578389,83.7 %,86693.0,5.5%
238,Jammu,5,,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,1780835,1302176,73.1 %,135498.0,10.4%
239,Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,1817864,1051235,57.8 %,238008.0,22.6%
240,Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,1869278,1277629,68.4 %,259782.0,20.3%
241,Jamui,40,SC,Bihar [2000 Onwards],Arun Bharti,Lok Janshakti Party(Ram Vilas),1907126,979233,51.4 %,112482.0,11.5%
242,Jangipur,9,GEN,West Bengal,Khalilur Rahaman,All India Trinamool Congress,1805360,1369633,75.9 %,116637.0,8.5%
243,Janjgir-Champa,3,SC,Chhattisgarh,Kamlesh Jangde,Bharatiya Janta Party,2056047,1392240,67.7 %,60000.0,4.3%
244,Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Babu Singh Kushwaha,Samajwadi Party,1977237,1101788,55.7 %,99335.0,9.0%
245,Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,2030525,1421331,70.0 %,370989.0,26.1%
246,Jhanjharpur,7,GEN,Bihar [2000 Onwards],Ramprit Mandal,Janata Dal (United),2003040,1093741,54.6 %,184169.0,16.8%
247,Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Anurag Sharma,Bharatiya Janta Party,2161221,1380506,63.9 %,102614.0,7.4%
248,Jhargram,33,ST,West Bengal,Kalipada Saren (KHERWAL),All India Trinamool Congress,1779794,1490843,83.8 %,174048.0,11.7%
249,Jhunjhunu,4,GEN,Rajasthan,Brijendra Singh Ola,Indian National Congress,2068540,1118927,54.1 %,18235.0,1.6%
250,Jodhpur,16,GEN,Rajasthan,Gajendra Singh Shekhawat,Bharatiya Janta Party,2132713,1383838,64.9 %,115677.0,8.4%
251,Jorhat,14,GEN,Assam,Gaurav Gogoi,Indian National Congress,1727121,1391160,80.6 %,144393.0,10.4%
252,Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,1844780,1482631,80.3 %,470219.0,31.7%
253,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1795110,1068253,59.5 %,135494.0,12.7%
254,Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,1943136,1095157,56.4 %,268782.0,24.5%
255,Kadapa,21,,Andhra Pradesh [2014 Onwards],Y. S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1639066,1321975,80.7 %,62695.0,4.7%
256,Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Iqra Choudhary,Samajwadi Party,1722432,1079806,62.7 %,69116.0,6.4%
257,Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Karan Bhushan Singh,Bharatiya Janta Party,1904726,1062099,55.8 %,148843.0,14.0%
258,Kakinada,6,,Andhra Pradesh [2014 Onwards],Tangella Uday Srinivas (TEA TIME UDAY),Janasena Party,1634122,1329803,81.4 %,229491.0,17.3%
259,Kalahandi,11,GEN,Orissa,Malvika Devi,Bharatiya Janta Party,1700780,1334244,78.5 %,133813.0,10.0%
260,Kallakurichi,14,GEN,Tamil Nadu,Malaiyarasan D,Dravida Munnetra Kazhagam,1568681,1249568,79.7 %,53784.0,4.3%
261,Kalyan,24,GEN,Maharashtra,Dr Shrikant Eknath Shinde,Shiv Sena,2082221,1045736,50.2 %,209144.0,20.0%
262,Kancheepuram,6,SC,Tamil Nadu,Selvam. G,Dravida Munnetra Kazhagam,1748866,1259578,72.0 %,221473.0,17.6%
263,Kandhamal,13,GEN,Orissa,Sukanta Kumar Panigrahi,Bharatiya Janta Party,1339090,996091,74.4 %,21371.0,2.1%
264,Kangra,1,GEN,Himachal Pradesh,Dr Rajeev Bhardwaj,Bharatiya Janta Party,1502514,1036868,69.0 %,251895.0,24.3%
265,Kanker,11,ST,Chhattisgarh,Bhojraj Nag,Bharatiya Janta Party,1654440,1265429,76.5 %,1884.0,0.1%
266,Kannauj,42,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1988925,1217833,61.2 %,170922.0,14.0%
267,Kanniyakumari,39,GEN,Tamil Nadu,Vijayakumar (Alias) VIJAY VASANTH,Indian National Congress,1557915,1029055,66.1 %,179907.0,17.5%
268,Kannur,2,GEN,Kerala,K. Sudhakaran,Indian National Congress,1358368,1063855,78.3 %,108982.0,10.2%
269,Kanpur,43,GEN,Uttar Pradesh [2000 Onwards],Ramesh Awasthi,Bharatiya Janta Party,1662859,887396,53.4 %,20968.0,2.4%
270,Kanthi,31,GEN,West Bengal,Adhikari Soumendu,Bharatiya Janta Party,1794537,1530997,85.3 %,47764.0,3.1%
271,Karakat,35,GEN,Bihar [2000 Onwards],Raja Ram Singh,Communist Party Of India (Marxist-Leninist) (Liberation),1881191,1031618,53.7 %,105858.0,10.3%
272,Karauli-Dholpu,10,SC,Rajasthan,Bhajan Lal Jatav,Indian National Congress,1975352,988122,50.0 %,98945.0,10.0%
273,Karimganj,7,SC,Assam,Kripanath Mallah,Bharatiya Janta Party,1412148,1146882,81.2 %,18360.0,1.6%
274,Karimnagar,3,GEN,Telangana,Bandi Sanjay Kumar,Bharatiya Janta Party,1797150,1312852,73.1 %,225209.0,17.2%
275,Karnal,5,GEN,Haryana,Manohar Lal,Bharatiya Janta Party,2104229,1345892,64.0 %,232577.0,17.3%
276,Karur,23,GEN,Tamil Nadu,Jothimani. S,Indian National Congress,1429790,1132045,79.1 %,166816.0,14.7%
277,Kasaragod,1,GEN,Kerala,Rajmohan Unnithan,Indian National Congress,1452230,1112546,76.6 %,100649.0,9.0%
278,Katihar,11,GEN,Bihar [2000 Onwards],Tariq Anwar,Indian National Congress,1833009,1171546,63.9 %,49863.0,4.3%
279,Kaushambi,50,SC,Uttar Pradesh [2000 Onwards],Pushpendra Saroj,Samajwadi Party,1909620,1009329,52.9 %,103944.0,10.3%
280,Kaziranga,10,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,2050126,1629937,79.5 %,248947.0,15.3%
281,Kendrapara,15,GEN,Orissa,Baijayant Panda,Bharatiya Janta Party,1792723,1277108,71.2 %,66536.0,5.2%
282,Keonjhar,4,ST,Orissa,Ananta Nayak,Bharatiya Janta Party,1588179,1256615,79.1 %,97042.0,7.7%
283,Khadoor Sahib,3,GEN,Punjab,Amritpal Singh,Independent,1667797,1047165,62.8 %,197120.0,18.8%
284,Khagaria,25,GEN,Bihar [2000 Onwards],Rajesh Verma,Lok Janshakti Party(Ram Vilas),1840217,1061894,57.7 %,161131.0,15.2%
285,Khajuraho,8,GEN,Madhya Pradesh [2000 Onwards],Vishnu Datt Sharma (V.D.SHARMA),Bharatiya Janta Party,1997483,1140570,57.1 %,541229.0,47.5%
286,Khammam,17,GEN,Telangana,Ramasahayam Raghuram Reddy,Indian National Congress,1631039,1251283,76.7 %,467847.0,37.4%
287,Khandwa,28,GEN,Madhya Pradesh [2000 Onwards],Gyaneshwar Patil,Bharatiya Janta Party,2112203,1512542,71.6 %,269971.0,17.8%
288,Khargone,27,ST,Madhya Pradesh [2000 Onwards],Gajendra Singh Patel,Bharatiya Janta Party,2046030,1558778,76.2 %,135018.0,8.7%
289,Kheda,17,GEN,Gujarat,Devusinh Chauhan,Bharatiya Janta Party,2007404,1175848,58.6 %,357758.0,30.4%
290,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Utkarsh Verma Madhur,Samajwadi Party,1870170,1213359,64.9 %,34329.0,2.8%
291,Khunti,11,ST,Jharkhand,Kali Charan Munda,Indian National Congress,1326138,936682,70.6 %,149675.0,16.0%
292,Kishanganj,10,GEN,Bihar [2000 Onwards],Mohammad Jawed,Indian National Congress,1829994,1151099,62.9 %,59692.0,5.2%
293,Kodarma,5,GEN,Jharkhand,Annpurna Devi,Bharatiya Janta Party,2205318,1369964,62.1 %,377014.0,27.5%
294,Kokrajhar,1,ST,Assam,Joyanta Basumatary,United Peoples Party Liberal,1484571,1241496,83.6 %,51583.0,4.2%
295,Kolar,28,SC,Karnataka,M. Mallesh Babu,Janata Dal (Secular),1726914,1355228,78.5 %,71388.0,5.3%
296,Kolhapur,47,GEN,Maharashtra,Chhatrapati Shahu Shahaji,Indian National Congress,1936403,1393326,72.0 %,154964.0,11.1%
297,Kolkata Dakshi,23,GEN,West Bengal,Mala Roy,All India Trinamool Congress,1849520,1243477,67.2 %,187231.0,15.1%
298,Kolkata Uttar,24,GEN,West Bengal,Bandyopadhyay Sudip,All India Trinamool Congress,1505356,958433,63.7 %,92560.0,9.7%
299,Kollam,18,GEN,Kerala,N K Premachandran,Revolutionary Socialist Party,1326648,915691,69.0 %,150302.0,16.4%
300,Koppal,8,GEN,Karnataka,K. Rajashekar Basavaraj Hitnal,Indian National Congress,1866397,1328936,71.2 %,46357.0,3.5%
301,Koraput,21,ST,Orissa,Saptagiri Sankar Ulaka,Indian National Congress,1480922,1148842,77.6 %,147744.0,12.9%
302,Korba,4,GEN,Chhattisgarh,Jyotsna Charandas Mahant,Indian National Congress,1618864,1225313,75.7 %,43283.0,3.5%
303,Kota,24,GEN,Rajasthan,Om Birla,Bharatiya Janta Party,2088023,1500157,71.9 %,41974.0,2.8%
304,Kottayam,14,GEN,Kerala,Adv K Francis George,Kerala Congress,1254823,836223,66.6 %,87266.0,10.4%
305,Kozhikode,5,GEN,Kerala,M. K. Raghavan,Indian National Congress,1429631,1090050,76.3 %,146176.0,13.4%
306,Krishnagiri,9,GEN,Tamil Nadu,Gopinath K,Indian National Congress,1623179,1166156,71.8 %,192486.0,16.5%
307,Krishnanagar,12,GEN,West Bengal,Mahua Moitra,All India Trinamool Congress,1755631,1425712,81.2 %,56705.0,4.0%
308,Kurnool,18,,Andhra Pradesh [2014 Onwards],Bastipati Nagaraju Panchalingala,Telugu Desam,1722857,1330780,77.2 %,111298.0,8.4%
309,Kurukshetra,2,GEN,Haryana,Naveen Jindal,Bharatiya Janta Party,1794300,1205872,67.2 %,29021.0,2.4%
310,Kushi Nagar,65,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Dubay,Bharatiya Janta Party,1875222,1080483,57.6 %,81790.0,7.6%
311,Ladakh,1,GEN,Ladakh,Mohmad Haneefa,Independent,184808,135524,73.3 %,27862.0,20.6%
312,Lakhimpur,12,GEN,Assam,Pradan Baruah,Bharatiya Janta Party,1577234,1211214,76.8 %,201257.0,16.6%
313,Lakshadweep,1,,Lakshadweep,Muhammed Hamdullah Sayeed,Indian National Congress,57784,49200,85.1 %,2647.0,5.4%
314,Lalganj,68,SC,Uttar Pradesh [2000 Onwards],Daroga Prasad Saroj,Samajwadi Party,1838882,1003438,54.6 %,115023.0,11.5%
315,Latur,41,SC,Maharashtra,Dr. Kalge Shivaji Bandappa,Indian National Congress,1977042,1239079,62.7 %,61881.0,5.0%
316,Lohardaga,12,ST,Jharkhand,Sukhdeo Bhagat,Indian National Congress,1441302,967125,67.1 %,139138.0,14.4%
317,Lucknow,35,GEN,Uttar Pradesh [2000 Onwards],Raj Nath Singh,Bharatiya Janta Party,2172171,1136892,52.3 %,135159.0,11.9%
318,Ludhiana,7,GEN,Punjab,Amrinder Singh Raja Warring,Indian National Congress,1758614,1059157,60.2 %,20942.0,2.0%
319,Machhlishahr,74,SC,Uttar Pradesh [2000 Onwards],Priya Saroj,Samajwadi Party,1940605,1060063,54.6 %,35850.0,3.4%
320,Machilipatnam,11,,Andhra Pradesh [2014 Onwards],Balashowry Vallabhaneni,Janasena Party,1539460,1312004,85.2 %,223179.0,17.0%
321,Madha,43,GEN,Maharashtra,Mohite-Patil Dhairyasheel Rajsinh,Nationalist Congress Party – Sharadchandra Pawar,1991454,1273418,63.9 %,120837.0,9.5%
322,Madhepura,13,GEN,Bihar [2000 Onwards],Dinesh Chandra Yadav,Janata Dal (United),2071166,1209695,58.4 %,174534.0,14.4%
323,Madhubani,6,GEN,Bihar [2000 Onwards],Ashok Kumar Yadav,Bharatiya Janta Party,1934980,1027728,53.1 %,151945.0,14.8%
324,Madurai,32,GEN,Tamil Nadu,Venkatesan S,Communist Party Of India (Marxist),1582271,986969,62.4 %,209409.0,21.2%
325,Mahabubabad,16,ST,Telangana,Balram Naik Porika,Indian National Congress,1532366,1108786,72.4 %,349165.0,31.5%
326,Maharajganj,63,GEN,Uttar Pradesh [2000 Onwards],Pankaj Chaudhary,Bharatiya Janta Party,2004050,1210451,60.4 %,35451.0,2.9%
327,Maharajganj,19,GEN,Bihar [2000 Onwards],"Janardan Singh ""sigriwal""",Bharatiya Janta Party,1934937,1014109,52.4 %,102651.0,10.1%
328,Mahasamund,9,GEN,Chhattisgarh,Roop Kumari Choudhary,Bharatiya Janta Party,1762477,1326080,75.2 %,145456.0,11.0%
329,Mahbubnagar,11,GEN,Telangana,Aruna. D. K,Bharatiya Janta Party,1682470,1226078,72.9 %,4500.0,0.4%
330,Mahesana,4,GEN,Gujarat,Haribhai Patel,Bharatiya Janta Party,1770617,1076827,60.8 %,328046.0,30.5%
331,Mainpuri,21,GEN,Uttar Pradesh [2000 Onwards],Dimple Yadav,Samajwadi Party,1790797,1054011,58.9 %,221639.0,21.0%
332,Malappuram,6,GEN,Kerala,E.T. Mohammed Basheer,Indian Union Muslim League,1479921,1085182,73.3 %,300118.0,27.7%
333,Maldaha Dakshi,8,GEN,West Bengal,Isha Khan Choudhury,Indian National Congress,1782159,1369789,76.9 %,128368.0,9.4%
334,Maldaha Uttar,7,GEN,West Bengal,Khagen Murmu,Bharatiya Janta Party,1862035,1417589,76.1 %,77708.0,5.5%
335,Malkajgiri,7,GEN,Telangana,Eatala Rajender,Bharatiya Janta Party,3779596,1933843,51.2 %,391475.0,20.2%
336,Mandi,2,GEN,Himachal Pradesh,Kangna Ranaut,Bharatiya Janta Party,1364060,1015810,74.5 %,74755.0,7.4%
337,Mandla,14,ST,Madhya Pradesh [2000 Onwards],Faggan Singh Kulaste,Bharatiya Janta Party,2101811,1535632,73.1 %,103846.0,6.8%
338,Mandsour,23,GEN,Madhya Pradesh [2000 Onwards],Sudheer Gupta,Bharatiya Janta Party,1898060,1433492,75.5 %,500655.0,34.9%
339,Mandya,20,GEN,Karnataka,H.D. Kumaraswamy,Janata Dal (Secular),1779243,1460267,82.1 %,284620.0,19.5%
340,Mathura,17,GEN,Uttar Pradesh [2000 Onwards],Hemamalini Dharmendra Deol,Bharatiya Janta Party,1929550,957046,49.6 %,293407.0,30.7%
341,Mathurapur,20,SC,West Bengal,Bapi Haldar,All India Trinamool Congress,1817068,1496024,82.0 %,201057.0,13.4%
342,Maval,33,GEN,Maharashtra,Shrirang Appa Chandu Barne,Shiv Sena,2585018,1419401,54.9 %,96615.0,6.8%
343,Mavelikkara,16,SC,Kerala,Kodikunnil Suresh,Indian National Congress,1331880,894971,67.2 %,10868.0,1.2%
344,Mayiladuthurai,28,GEN,Tamil Nadu,Sudha R,Indian National Congress,1545568,1087708,70.4 %,271183.0,24.9%
345,Mayurbhanj,5,ST,Orissa,Naba Charan Majhi,Bharatiya Janta Party,1542927,1174050,76.1 %,219334.0,18.7%
346,Medak,6,GEN,Telangana,Madhavaneni Raghunandan Rao,Bharatiya Janta Party,1828210,1386239,75.8 %,39139.0,2.8%
347,Medinipur,34,GEN,West Bengal,June Maliah,All India Trinamool Congress,1811243,1481563,81.8 %,27191.0,1.8%
348,Meerut,10,GEN,Uttar Pradesh [2000 Onwards],Arun Govil,Bharatiya Janta Party,2000530,1182479,59.1 %,10585.0,0.9%
349,Mirzapur,79,GEN,Uttar Pradesh [2000 Onwards],Anupriya Patel,Apna Dal (Soneylal),1906327,1105405,58.0 %,37810.0,3.4%
350,Misrikh,32,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Rawat,Bharatiya Janta Party,1878195,1051983,56.0 %,33406.0,3.2%
351,Mizoram,1,ST,Mizoram,Richard Vanlalhmangaiha,Zoram People’s Movement,856364,491336,57.4 %,68288.0,13.9%
352,Mohanlalganj,34,SC,Uttar Pradesh [2000 Onwards],R.K. Chaudhary,Samajwadi Party,2187232,1377452,63.0 %,70292.0,5.1%
353,Moradabad,6,GEN,Uttar Pradesh [2000 Onwards],Ruchi Vira,Samajwadi Party,2059578,1283185,62.3 %,105762.0,8.2%
354,Morena,1,GEN,Madhya Pradesh [2000 Onwards],Shivmangal Singh Tomar,Bharatiya Janta Party,2006730,1187331,59.2 %,52530.0,4.4%
355,Mumbai North,26,GEN,Maharashtra,Piyush Goyal,Bharatiya Janta Party,1811942,1035493,57.2 %,357608.0,34.5%
356,Mumbai North Central,29,GEN,Maharashtra,Gaikwad Varsha Eknath,Indian National Congress,1744128,910562,52.2 %,16514.0,1.8%
357,Mumbai North East,28,GEN,Maharashtra,Sanjay Dina Patil,Shiv Sena (Uddhav Balasaheb Thackrey),1636890,926469,56.6 %,29861.0,3.2%
358,Mumbai North West,27,GEN,Maharashtra,Ravindra Dattaram Waikar,Shiv Sena,1735088,954939,55.0 %,48.0,0.0%
359,Mumbai South,31,GEN,Maharashtra,Arvind Ganpat Sawant,Shiv Sena (Uddhav Balasaheb Thackrey),1536168,773113,50.3 %,52673.0,6.8%
360,Mumbai South Central,30,GEN,Maharashtra,Anil Yeshwant Desai,Shiv Sena (Uddhav Balasaheb Thackrey),1474405,794524,53.9 %,53384.0,6.7%
361,Munger,28,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh Alias Lalan Singh,Janata Dal (United),2042279,1139081,55.8 %,80870.0,7.1%
362,Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1888097,1541559,81.7 %,164215.0,10.7%
363,Muzaffarnagar,3,GEN,Uttar Pradesh [2000 Onwards],Harendra Singh Malik,Samajwadi Party,1817472,1078669,59.4 %,24672.0,2.3%
364,Muzaffarpur,15,GEN,Bihar [2000 Onwards],Raj Bhushan Choudhary,Bharatiya Janta Party,1866106,1112460,59.6 %,234927.0,21.1%
365,Mysore,21,GEN,Karnataka,Yaduveer Krishnadatta Chamaraja Wadiyar,Bharatiya Janta Party,2092222,1484473,71.0 %,139262.0,9.4%
366,Nabarangpur,12,ST,Orissa,Balabhadra Majhi,Bharatiya Janta Party,1514140,1242475,82.1 %,87536.0,7.0%
367,Nagaland,1,ST,Nagaland,S Supongmeren Jamir,Indian National Congress,1317536,760796,57.7 %,50984.0,6.7%
368,Nagaon,9,GEN,Assam,Pradyut Bordoloi,Indian National Congress,1817204,1549998,85.3 %,212231.0,13.7%
369,Nagapattinam,29,SC,Tamil Nadu,Selvaraj V,Communist Party Of India,1345120,973011,72.3 %,208957.0,21.5%
370,Nagarkurnool,12,SC,Telangana,Dr.Mallu Ravi,Indian National Congress,1738254,1219223,70.1 %,94414.0,7.7%
371,Nagaur,14,GEN,Rajasthan,Hanuman Beniwal,Rashtriya Loktantrik Party,2146725,1238473,57.7 %,42225.0,3.4%
372,Nagina,5,SC,Uttar Pradesh [2000 Onwards],Chandrashekhar,Aazad Samaj Party (Kanshi Ram),1644909,1001303,60.9 %,151473.0,15.1%
373,Nagpur,10,GEN,Maharashtra,Nitin Jairam Gadkari,Bharatiya Janta Party,2223281,1211321,54.5 %,137603.0,11.4%
374,Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,2015809,1266016,62.8 %,334548.0,26.4%
375,Nalanda,29,GEN,Bihar [2000 Onwards],Kaushalendra Kumar,Janata Dal (United),2288240,1144383,49.9 %,169114.0,14.8%
376,Nalgonda,13,GEN,Telangana,Kunduru Raghuveer,Indian National Congress,1725465,1296324,75.1 %,559905.0,43.2%
377,Namakkal,16,GEN,Tamil Nadu,Matheswaran V S,Dravida Munnetra Kazhagam,1452562,1146303,78.9 %,29112.0,2.5%
378,Nanded,16,GEN,Maharashtra,Chavan Vasantrao Balwantrao,Indian National Congress,1851843,1128254,60.9 %,59442.0,5.3%
379,Nandurbar,1,ST,Maharashtra,Adv Gowaal Kagada Padavi,Indian National Congress,1970327,1393669,70.7 %,159120.0,11.4%
380,Nandyal,17,,Andhra Pradesh [2014 Onwards],Dr Byreddy Shabari,Telugu Desam,1721013,1404418,81.6 %,111975.0,8.0%
381,Narasaraopet,14,,Andhra Pradesh [2014 Onwards],Lavu Srikrishna Devarayalu,Telugu Desam,1734858,1499569,86.4 %,159729.0,10.7%
